grade,label,pd_range,n_customers,predicted_pd_pct,expected_loss_rate_pct,required_rate_pct,offered_rate_pct,profit_rate_pct,expected_profit,action,action_th
A,Very low,< 1%,2156,0.18,0.14,10.1,10.1,3.0,38403.0,Lower rate; can offer limit increase,ลดดอกเบี้ยได้ และเสนอเพิ่มวงเงินได้
B,Low,1-5%,467,2.36,1.89,11.9,11.9,3.0,17457.0,Risk-based rate; keep standard limit,ดอกเบี้ยตามความเสี่ยง คงวงเงินปกติ
C,Medium,5-20%,219,10.52,8.41,18.4,16.0,0.6,1949.0,Charge the cap; no limit increase; monitor monthly,เก็บดอกเบี้ยเต็มเพดาน ไม่เพิ่มวงเงิน ติดตามทุกเดือน
D,High,20-50%,108,31.93,25.55,35.5,16.0,-16.5,-31749.0,Freeze limit; early reminder; offer payment plan,ระงับวงเงิน แจ้งเตือนก่อนครบกำหนด เสนอแผนผ่อนชำระ
E,Very high,50%+,50,71.44,57.15,67.2,16.0,-48.2,-50453.0,Block new spending; collections or restructuring,ระงับการใช้จ่ายใหม่ ติดตามหนี้หรือปรับโครงสร้างหนี้
